Question_No,Category,Question,Hint,Description,Solution
1,Content Creation & Strategy,Sweet Country ke Instagram pe aajkal engagement low hai. Aap kya content strategy banayenge local Thane-Bhiwandi audience ke liye?,"Local festivals, daily cake stories, behind-the-scenes pe focus karo.",Yeh scenario-based question hai jisme interviewer dekhna chahta hai ki aap local market samajhte ho aur data-driven content plan bana sakte ho.,"Pehle Instagram Insights check karunga – kis time pe log active hain, kaunsa content zyada chal raha hai. Phir 4-5 content pillars banayenge: 1) Fresh Cake of the Day (reel + story), 2) Customer celebrations (UGC), 3) Festival specials (Ganesh Chaturthi, Diwali, Eid, Christmas), 4) Behind-the-scenes kitchen, 5) Local Thane-Bhiwandi collabs. Daily 1 reel + 3-4 stories + weekly carousel. Hashtags: #SweetCountyThane #BhiwandiCakes #ThaneBakery. Local language mix (Hinglish captions) use karenge taaki connect ho."
2,Content Creation & Strategy,Diwali aa rahi hai. Sweet County ke liye 15 din ka content calendar kaise banayenge?,"Festival themes, gift hampers, limited offers, countdown posts.","Festival campaigns local sweet shops ke liye sabse important hote hain. Interviewer yeh dekhna chahta hai ki aap timing, variety aur sales conversion soch sakte ho.","Day 1-3: Teaser reels (diyas + cakes), Day 4-7: Gift hamper unboxing + price reveals, Day 8-10: Customer testimonials + custom order CTAs, Day 11-13: Last minute offers + WhatsApp order links, Day 14-15: Live kitchen + thank you posts. Stories mein daily poll (kaunsa flavour best?), reels mein trending audio. Offer: Pre-book pe 10% off. Tracking: UTM links + WhatsApp clicks."
3,Content Creation & Strategy,Aapko ek custom cake order ka unboxing video banana hai jo viral ho sake. Approach kya hoga?,Emotional storytelling + aesthetic shots + local touch.,"Viral content ke liye hooks, emotions aur shareability zaroori hai. Cake shop ke liye unboxing bahut powerful hota hai.","Hook pehle 3 second mein: 'Thane ki sabse beautiful custom cake dekho!' Phir slow motion cutting, layers reveal, customer reaction (agar possible). Background mein soft Hinglish voiceover. End mein CTA: 'Apna special moment ke liye DM karo'. Music: trending romantic/festival audio. Hashtags + location tag. Boost karne ke liye pehle 1 hour mein team + friends se engagement push."
4,Content Creation & Strategy,Sweet County pure veg hai. Isko social media pe kaise highlight karenge competitors se alag dikhane ke liye?,"Pure veg badge, ingredients transparency, family-friendly angle.",Differentiation bahut important hai crowded market mein. Pure veg ek strong USP hai Mumbai-Thane area mein.,"Har post pe '100% Pure Veg Live Kitchen' badge. Weekly 'Ingredient Story' reels (kaju, mawa, fresh fruits). Family celebration posts. Collab with pure-veg food bloggers. Caption mein repeatedly mention. Stories mein 'Veg only' highlight. Competitor comparison soft tarike se: 'Jahan purity pe compromise nahi'."
5,Content Creation & Strategy,Ek nayi mango cake launch ho rahi hai summer mein. Launch campaign kaise plan karoge?,Teaser → Reveal → Offer → UGC → FOMO.,Product launch campaigns sales drive karte hain. Structured approach chahiye.,"Week 1: Teaser stories (mango cutting, batter mixing – no reveal). Week 2: Official reveal reel + price. Week 3: Limited time offer (₹79 jaisa). Week 4: Customer reviews + UGC contest ('Apna mango cake photo bhejo, best ko free cake'). Influencer seeding local foodies ko. Ads: Lookalike audience + interest targeting (dessert lovers Thane)."
6,Content Creation & Strategy,Content calendar banate waqt evergreen vs trending content ka balance kaise rakhenge?,"70% evergreen, 20% seasonal, 10% trending.",Consistent growth ke liye balance zaroori hai. Sirf trends pe depend nahi karna chahiye.,"Evergreen: Cake recipes tips, how-to cut cake, storage tips, classic flavours. Seasonal: Festivals, summer specials, monsoon comfort. Trending: Instagram audio trends, memes (cake related), challenges. Weekly review karke adjust. Tools: Notion ya Google Sheet calendar + Meta Business Suite scheduler."
7,Content Creation & Strategy,Reels ka length aur format Sweet County ke liye kya best rahega?,"7-15 seconds hook heavy, vertical, text overlay.",Algorithm reels ko priority deta hai. Length aur retention important hai.,"Ideal: 7-12 seconds for high retention. Hook in first 1-2 sec (close-up cake cut). Text overlay Hinglish. Trending audio. CTA at end. Series banao: 'Cake Cutting ASMR', 'Flavour Reveal', 'Customer Happy Dance'. Test different lengths aur Insights se dekh lo kaunsa zyada complete hota hai."
8,Content Creation & Strategy,Carousels kab use karenge aur kaise design karenge?,"Education, before-after, multiple products, tips.",Carousels save aur share zyada hote hain. Education content ke liye best.,"Use cases: 1) 5 best cakes under ₹500, 2) How to store cake, 3) Festival gift guide, 4) Ingredients list. Design: Bright colors, consistent fonts, Sweet County logo watermark, swipe up arrow. First slide strong hook. Last slide CTA + WhatsApp number."
9,Content Creation & Strategy,Stories ka daily plan kya hoga Sweet County ke liye?,"Morning offer, midday BTS, evening poll/customer, night CTA.",Stories high engagement dete hain aur algorithm ko signal dete hain ki account active hai.,"Morning: Today's special + price. Midday: Kitchen live / chef working. Afternoon: Customer photo repost. Evening: Poll (chocolate vs mango?). Night: Order abhi karo + location. Highlights: Menu, Offers, Reviews, Locations, Festivals. Stickers: Poll, Quiz, Countdown, Link."
10,Content Creation & Strategy,UGC (User Generated Content) kaise encourage karenge?,"Contests, reposts, free cake incentives, branded hashtag.",UGC authentic lagta hai aur trust banata hai. Cost-effective bhi hai.,Branded hashtag #MySweetCountyMoment. Monthly contest: Best photo/video ko free 1kg cake. Stories mein repost with credit. WhatsApp pe customers ko bolna ki photo bheje. Packaging mein small card: 'Tag us for a chance to be featured'. Track karke top UGC ko highlight.
